company,firm_id,naics2,naics3,n_components,n_estab,emp_all,emp_clean,emp_obs,n_flagged
UNITED STATES GYPSUM CO,007538564,32,327,1,3.0,1469.0,1469.0,1400.0,0.0
TACO BELL,959792284,72,722,1,76.0,1462.0,1462.0,903.0,0.0
ARCHER-DANIELS-MIDLAND CO,007502875,11,311,1,5.0,1440.0,1440.0,1430.0,0.0
SKIDMORE OWINGS & MERRILL LLP,424597185,81,541,1,1.0,1400.0,1400.0,1400.0,0.0
EQ OFFICE,680258050,54,531,1,49.0,1366.0,1366.0,737.0,0.0
DOLLAR TREE,678851924,45,452,1,124.0,1353.0,1353.0,952.0,0.0
BAIRD & WARNER REAL ESTATE,421766768,55,531,1,10.0,1325.0,1325.0,1074.0,0.0
OAK STREET HEALTH PORTAGE PARK,400624805,62,621,1,87.0,1319.0,1319.0,525.0,0.0
BURGER KING,422011576,72,722,1,46.0,1316.0,1316.0,1050.0,0.0
COMMUNITY FIRST MEDICAL CTR,COMMUNITY FIRST MEDICAL CENTER,62,622,14,16.0,1315.0,1315.0,1200.0,0.0
KPMG,433570033,54,541,1,1.0,1300.0,1300.0,1300.0,0.0
ALLIANCE GROUND INTL,789889894,48,488,1,4.0,1259.0,1259.0,1250.0,0.0
CHASE,433091519,52,522,1,82.0,1251.0,1251.0,1043.0,0.0
AMERICAN MEDICAL ASSN,496971326,51,813,1,4.0,1235.0,1235.0,1230.0,0.0
PEOPLES GAS,832371389,21,221,1,6.0,1224.0,1224.0,1200.0,0.0
WALMART SUPERCENTER,005889993,44,452,1,19.0,1217.0,1217.0,870.0,0.0
MONDELEZ INTERNATIONAL INC,860048156,31,311,1,2.0,1203.0,1203.0,1200.0,0.0
AT WORLD PROPERTIES LLC,713858228,53,531,1,14.0,1185.0,1185.0,1148.0,0.0
SEYFARTH SHAW LLP,001330794,54,541,1,4.0,1140.0,1140.0,1001.0,0.0
TRANSUNION INTERMEDIATE HLDNGS,434533054,52,561,1,4.0,1139.0,1139.0,1100.0,0.0
BHHS CHICAGO,002363950,52,531,1,31.0,1138.0,1138.0,996.0,0.0
JAMESON SOTHEBY'S INTL REALTY,416148006,53,531,1,29.0,1135.0,1135.0,944.0,0.0
CHICAGO STATE UNIVERSITY,738420292,61,611,1,5.0,1121.0,1121.0,950.0,0.0
CBOE FUTURES EXCHANGE LLC,458460003,23,523,1,7.0,1116.0,1116.0,900.0,0.0
ROCKFON LLC,367784493,23,332,1,1.0,1112.0,1112.0,1112.0,0.0
UNI CARE LIFE & HEALTH INS CO,582011136,62,524,1,3.0,1105.0,1105.0,1100.0,0.0
EDSAL MANUFACTURING CO INC,385902457,44,337,1,2.0,1105.0,1105.0,1100.0,0.0
PATRICK J MCNERNEY MEYER BROWN,416870134,54,541,1,1.0,1105.0,1105.0,1105.0,0.0
DEPAUL UNIVERSITY-LOOP CAMPUS,721488907,45,611,1,4.0,1089.0,1089.0,1001.0,0.0
ALDI,200026573,44,445,1,34.0,1061.0,1061.0,0.0,0.0
MATTRESS FIRM,237855895,33,442,1,14.0,1061.0,1061.0,1004.0,0.0
GREAT DANE TRAILERS,007656051,42,336,1,3.0,1055.0,1055.0,1050.0,0.0
RATE,746795206,52,522,1,21.0,1037.0,1037.0,957.0,0.0
POTBELLY CORP,224249342,53,722,1,51.0,1036.0,1036.0,742.0,0.0
AON CORP,003901832,52,524,1,6.0,1029.0,1029.0,1013.0,0.0
KIRKLAND & ELLIS LLP,467853073,54,541,1,3.0,1009.0,1009.0,1000.0,0.0
CHIPOTLE MEXICAN GRILL,557193513,72,722,1,43.0,1008.0,1008.0,634.0,0.0
MOTOROLA MOBILITY HOLDINGS LLC,611335779,53,334,1,1.0,1001.0,1001.0,1001.0,0.0
MCCORMICK PLACE,243185816,71,722,1,1.0,1001.0,1001.0,1001.0,0.0
RSM US LLP,148003965,52,541,1,1.0,1000.0,1000.0,1000.0,0.0
AMERICAN MEDICAL ASSOC,458512076,81,813,1,1.0,1000.0,1000.0,1000.0,0.0
METROPOLITAN PIER & EXPOSITION,507800415,71,561,1,1.0,1000.0,1000.0,1000.0,0.0
CLARK CONSTRUCTION GROUP,367209509,23,236,1,1.0,1000.0,1000.0,1000.0,0.0
SIDLEY AUSTIN LLP,533767356,54,541,1,1.0,1000.0,1000.0,1000.0,0.0
INPUT CENTER INC,410776136,56,561,1,1.0,1000.0,1000.0,1000.0,0.0
MC AULEY RESIDENCE,401537560,62,623,1,1.0,1000.0,1000.0,1000.0,0.0
ISMS DIVISION OF SPECIALTY SVC,400403224,62,236,1,1.0,1000.0,1000.0,1000.0,0.0
CHICAGO SYMPHONY CTR,475652731,71,711,1,1.0,1000.0,1000.0,1000.0,0.0
MISERICORDIA HOME,151796745,81,813,1,1.0,1000.0,1000.0,1000.0,0.0
NORCON INC,367448727,23,236,1,1.0,1000.0,1000.0,1000.0,0.0
MILLER COORS LLC,007500598,42,424,1,3.0,1000.0,1000.0,1000.0,0.0
AMER ASSOCIATION OF MEDICAL,610824542,81,813,1,1.0,1000.0,1000.0,1000.0,0.0
AMAZING CHICAGO'S FUNHOUSE MZ,720809648,71,713,1,1.0,1000.0,0.0,1000.0,1.0
FAIRMONT CHICAGO-MILLENNIUM,438897461,72,721,1,3.0,1000.0,1000.0,1000.0,0.0
THOREK MEMORIAL HOSP ANDRSNVLL,713247635,62,622,1,6.0,998.0,998.0,926.0,0.0
COLUMBIA COLLEGE CHICAGO,748156067,61,611,1,7.0,979.0,979.0,881.0,0.0
TRUE VALUE CO,539863209,42,444,1,16.0,978.0,978.0,974.0,0.0
NORDSTROM,006131684,56,452,1,7.0,959.0,959.0,790.0,0.0
WILLIAM BLAIR & CO LLC,402888671,52,523,1,1.0,920.0,920.0,920.0,0.0
WINSTON & STRAWN LLP,001334648,54,541,1,2.0,907.0,907.0,900.0,0.0
WILLIS TOWERS WATSON,592127328,52,524,1,2.0,903.0,903.0,900.0,0.0
DD'S DISCOUNTS,104275698,45,452,1,21.0,901.0,901.0,190.0,0.0
JENNER & BLOCK LLP,001332337,54,541,1,2.0,900.0,900.0,900.0,0.0
OMNIMAX THEATER,006529671,51,512,1,2.0,900.0,900.0,900.0,0.0
OSI INDUSTRIES LLC,006961734,31,311,1,2.0,900.0,900.0,900.0,0.0
ILLINOIS INSTITUTE-TECH CAMPUS,408172047,81,519,1,1.0,900.0,900.0,900.0,0.0
VEDDER PRICE PC,820362325,51,541,1,1.0,900.0,900.0,900.0,0.0
FREEDMAN SEATING CO,151162567,42,335,1,1.0,900.0,900.0,900.0,0.0
OZINGA,628493280,23,444,1,8.0,898.0,898.0,844.0,0.0
TJ MAXX,839897758,45,452,1,20.0,890.0,890.0,429.0,0.0
ST ANTHONY HOSPITAL,439851547,62,622,1,2.0,871.0,871.0,825.0,0.0
LA FITNESS,308577089,81,713,1,22.0,858.0,858.0,757.0,0.0
US ATTORNEY,452072770,54,922,1,17.0,855.0,855.0,706.0,0.0
ALDEN WENTWORTH REHABILITATION,151625449,62,624,1,8.0,830.0,830.0,807.0,0.0
EDELMAN,639356617,54,541,1,8.0,819.0,819.0,674.0,0.0
YMCA OF THE USA,151011921,62,624,1,9.0,815.0,815.0,800.0,0.0
NORTH PARK UNIVERSITY,738425559,61,611,1,2.0,815.0,815.0,800.0,0.0
WINTRUST WEALTH MANAGEMENT,967328584,52,523,1,56.0,814.0,814.0,614.0,0.0
ST BERNARD HOSPITAL,458545811,62,622,1,5.0,812.0,812.0,756.0,0.0
CIBC BANCORP USA INC,510390404,54,551,1,7.0,806.0,806.0,770.0,0.0
MOTOROLA SOLUTIONS INC,007525504,33,334,1,2.0,806.0,806.0,800.0,0.0
IBEW,121698195,23,813,1,72.0,802.0,802.0,646.0,0.0
HEARTLAND ALLIANCE-HUMAN NEEDS,581069010,52,813,1,13.0,795.0,795.0,712.0,0.0
ISI TELEMANAGEMENT SOLUTIONS,742896291,51,511,1,1.0,789.0,789.0,789.0,0.0
GEOMETRY GLOBAL,680181153,54,541,1,13.0,786.0,786.0,474.0,0.0
WENDY'S,423671866,72,722,1,26.0,784.0,784.0,580.0,0.0
POPEYES,156647240,72,722,1,37.0,783.0,783.0,669.0,0.0
ARCHER-WESTERN CONTRACTORS LTD,583360797,23,238,1,5.0,779.0,779.0,750.0,0.0
WESTERN UNION AGENT LOCATION,612771964,52,522,1,159.0,776.0,776.0,124.0,0.0
ARCELORMITTAL,003583366,23,331,1,6.0,768.0,768.0,720.0,0.0
BLUE CROSS & BLUE SHIELD ASSN,004612941,52,524,1,1.0,765.0,765.0,765.0,0.0
WEISS MEMORIAL HOSPITAL,793946125,62,622,1,2.0,756.0,756.0,732.0,0.0
COGNITIVE TPG,402325170,32,333,1,1.0,750.0,750.0,750.0,0.0
PRITZKER SCHOOL OF MEDICINE,475717922,61,611,1,1.0,750.0,750.0,750.0,0.0
BOARD-TRUSTEES-CMNTY CLG DIST,425757412,61,523,1,1.0,750.0,750.0,750.0,0.0
LESSEN,750307570,51,511,1,1.0,750.0,750.0,750.0,0.0
FARMER'S FRIDGE,736347633,72,454,1,67.0,748.0,748.0,0.0,0.0
BALYASNY ASSET MANAGEMENT LP,354872905,52,523,1,1.0,746.0,746.0,746.0,0.0
NUVEEN SECURITIES LLC,433461118,52,523,1,6.0,745.0,745.0,700.0,0.0
JACKSON PARK HOSPITAL,448968354,62,622,1,5.0,739.0,739.0,719.0,0.0
HUMBOLDT PARK HEALTH,475696241,62,622,1,3.0,738.0,738.0,714.0,0.0
RR DONNELLEY & SONS CO,683857213,32,323,1,2.0,731.0,731.0,725.0,0.0
DEUTSCHE BANK,441317252,52,522,1,3.0,724.0,724.0,720.0,0.0
ECHO GLOBAL LOGISTICS INC,433354362,48,488,1,7.0,722.0,722.0,703.0,0.0
WM WRIGLEY JR CO,007523475,31,311,1,18.0,718.0,718.0,671.0,0.0
DRAPER-KRAMER RESIDENTAL,901786970,53,531,1,10.0,716.0,716.0,696.0,0.0
REDWOOD LOGISTICS,230228082,48,484,1,4.0,715.0,715.0,715.0,0.0
ATLAS TUBE,415115285,23,331,1,5.0,705.0,705.0,500.0,0.0
IHEARTMEDIA,694674151,51,515,1,10.0,703.0,703.0,436.0,0.0
MCDERMOTT WILL & EMERY,001330497,54,541,1,1.0,700.0,700.0,700.0,0.0
WFMT,617356803,51,541,1,4.0,698.0,698.0,580.0,0.0
7-ELEVEN,005863311,72,445,1,99.0,698.0,698.0,531.0,0.0
NEWSNATION,988440806,51,515,1,4.0,697.0,697.0,530.0,0.0
WHITE CASTLE,441427713,72,722,1,20.0,688.0,688.0,688.0,0.0
REPUBLIC SERVICES OF CHICAGO,977518554,56,562,1,8.0,671.0,671.0,560.0,0.0
LOWE'S HOME IMPROVEMENT,310007406,23,444,1,5.0,666.0,666.0,410.0,0.0
WEBER SHANDWICK,003607868,54,541,1,6.0,663.0,663.0,619.0,0.0
FAEGRE DRINKER BIDDLE-REATH,001161124,51,541,1,2.0,660.0,660.0,660.0,0.0
CITIBANK,003678943,52,522,1,25.0,657.0,657.0,582.0,0.0
MOODY BIBLE INSTITUTE,722498934,61,519,1,3.0,651.0,651.0,640.0,0.0
JONES DAY,001250919,54,541,1,2.0,650.0,650.0,650.0,0.0
COSTCO WHOLESALE,441311800,42,452,1,10.0,650.0,650.0,607.0,0.0
AUTOKINITON,433350857,32,336,1,2.0,650.0,650.0,650.0,0.0
UNITED STATES CELLULAR CORP,004607974,51,517,1,2.0,640.0,640.0,640.0,0.0
SAKS FIFTH AVENUE,852815976,44,452,1,6.0,637.0,637.0,355.0,0.0
BUBBA GUMP SHRIMP CO,314638263,72,722,1,5.0,636.0,636.0,433.0,0.0
ADTALEM GLOBAL EDUCATION INC,007567704,61,611,1,2.0,636.0,636.0,636.0,0.0
GIORDANO'S,652242033,31,722,1,20.0,634.0,634.0,579.0,0.0
ROOSEVELT UNIVERSITY,738425989,61,611,1,4.0,628.0,628.0,600.0,0.0
METHODE ELECTRONICS INC,009322777,33,334,1,2.0,627.0,627.0,627.0,0.0
MORGAN STANLEY WEALTH MGMT,462148875,52,523,1,50.0,620.0,620.0,503.0,0.0
ARDAGH GROUP,004713574,33,327,1,2.0,620.0,620.0,620.0,0.0
GRANT THORNTON LLP,622551794,51,541,1,4.0,618.0,618.0,601.0,0.0
SALVATION ARMY KROC CTR,466104361,71,624,1,23.0,617.0,617.0,579.0,0.0
CONAGRA BRANDS INC,007509045,42,311,1,3.0,615.0,615.0,500.0,0.0
CUSHMAN & WAKEFIELD,884301763,53,531,1,3.0,613.0,613.0,600.0,0.0
VIENNA BEEF LTD,686514902,31,311,1,3.0,609.0,609.0,500.0,0.0
PROVIDENT HOSPITAL-COOK COUNTY,439599489,62,622,1,12.0,609.0,609.0,520.0,0.0
H&R BLOCK,004620738,52,541,1,66.0,608.0,608.0,452.0,0.0
BEARINGPOINT,259743649,54,541,1,1.0,600.0,600.0,600.0,0.0
NATIONAL ASSOCIATION-BAR,820734093,81,813,1,1.0,600.0,600.0,600.0,0.0
EAST BANK CLUB,975296526,71,713,1,1.0,600.0,600.0,600.0,0.0
55 ERIE INVESTORS LLC,417273296,53,531,1,1.0,600.0,600.0,600.0,0.0
GENERAL FOODS CORP,009093030,31,424,1,1.0,600.0,600.0,600.0,0.0
MIDWAY MOVING,237616735,48,531,1,1.0,600.0,600.0,600.0,0.0
ARIE CROWN THEATER,891739385,71,711,1,1.0,600.0,600.0,600.0,0.0
WALSH'DEMARIA JOINT VENTURE,404918287,23,236,1,1.0,600.0,600.0,600.0,0.0
FERRARA CANDY CO,418285359,42,311,1,1.0,600.0,600.0,600.0,0.0
CRAIN COMMUNICATIONS INC,890292881,51,511,1,6.0,598.0,598.0,433.0,0.0
FRESENIUS KIDNEY CARE,007526346,62,621,1,33.0,597.0,597.0,473.0,0.0
NEWARK,007503576,33,423,1,3.0,574.0,574.0,560.0,0.0
JIFFY LUBE,007533805,44,811,1,94.0,559.0,559.0,356.0,0.0
ALLSTATE INSURANCE,402946685,52,524,1,113.0,558.0,558.0,307.0,0.0
SUPERIOR GRAPHITE CO,655861375,32,335,1,2.0,552.0,552.0,552.0,0.0
FOUR SEASONS HOTEL CHICAGO,313028979,72,721,1,1.0,550.0,550.0,550.0,0.0
THYSSENKRUPP NORTH AMERICA,599085917,33,332,1,2.0,550.0,550.0,501.0,0.0
CCH INC,684383862,51,511,1,2.0,550.0,550.0,550.0,0.0
PROVISUR TECHNOLOGIES INC,007518103,33,423,1,4.0,544.0,544.0,544.0,0.0
PNC BANK,005235973,52,522,1,64.0,544.0,544.0,411.0,0.0
TRUMP INTERNATIONAL HOTEL,441324175,72,721,1,2.0,540.0,540.0,540.0,0.0
T-MOBILE,507958353,51,517,1,109.0,537.0,537.0,258.0,0.0
HOWARD ORLOFF IMPORTS INC,713001966,44,441,1,4.0,536.0,536.0,320.0,0.0
PROVIDENCE BANK & TRUST,749710524,52,522,1,3.0,536.0,536.0,536.0,0.0
PETE'S FRESH MARKET,716158773,42,445,1,8.0,536.0,536.0,502.0,0.0
PERKINS EASTMAN ARCHITECTS,807279781,54,541,1,2.0,534.0,534.0,534.0,0.0
STARCOM MEDIAVEST GROUP,533721700,54,541,1,4.0,533.0,533.0,519.0,0.0
CONSTELLATION BRANDS,006501621,31,425,1,2.0,530.0,530.0,530.0,0.0
SMITHBUCKLIN,461050437,62,561,1,3.0,528.0,528.0,528.0,0.0
DHL GLOBAL FORWARDING,712073164,48,488,1,5.0,526.0,526.0,502.0,0.0
SOUTH SHORE HOSPITAL,006531438,62,622,1,3.0,526.0,526.0,502.0,0.0
DOMINO'S,311225726,48,722,1,35.0,524.0,524.0,320.0,0.0
KOMATSU AMERICA CORP,441443769,21,333,1,3.0,523.0,523.0,520.0,0.0
BELT RAILWAY CO-CHICAGO YARD,416591443,48,482,1,1.0,520.0,520.0,520.0,0.0
KINDRED HOSPITAL CHICAGO NORTH,775656482,62,622,1,2.0,512.0,512.0,512.0,0.0
CHICAGO TRIBUNE DIRECT,422144316,51,541,1,7.0,512.0,512.0,390.0,0.0
BOSTON CONSULTING GROUP,854356029,54,541,1,3.0,508.0,508.0,500.0,0.0
CHAPMAN & CUTLER LLP,470626524,54,541,1,2.0,504.0,504.0,500.0,0.0
AT KEARNEY INC,005763008,33,541,1,2.0,503.0,503.0,500.0,0.0
ACCESS COMMUNITY HEALTH,001260249,62,621,1,1.0,501.0,501.0,501.0,0.0
GATX CORP,005763628,48,532,1,3.0,501.0,501.0,480.0,0.0
AUTOZONE,446751315,42,441,1,44.0,501.0,501.0,456.0,0.0
PENINSULA CHICAGO,434239930,72,721,1,1.0,500.0,500.0,500.0,0.0
COMPSYCH EMPLOYEE ASSISTANCE,421855444,54,541,1,1.0,500.0,500.0,500.0,0.0
FOUR SEASONS HTG & AIR COND,700457830,23,238,1,1.0,500.0,500.0,500.0,0.0
COLEMAN NATURAL MEATS,217200021,42,424,1,1.0,500.0,500.0,500.0,0.0
SKADDEN ARPS SLATE MEAGHER,227324787,51,541,1,1.0,500.0,500.0,500.0,0.0
ZACKS INVESTMENT RESEARCH INC,151012028,52,523,1,1.0,500.0,500.0,500.0,0.0
BAIN & CO,313554552,54,541,1,1.0,500.0,500.0,500.0,0.0
MCCORMICK PLACE,417327889,71,561,1,1.0,500.0,500.0,500.0,0.0
DIGITAS-CHICAGO,433572627,54,541,1,1.0,500.0,500.0,500.0,0.0
SRA MC GRAW-HILL,974030587,51,611,1,1.0,500.0,500.0,500.0,0.0
LINCOLN PARK ZOO,434093017,81,712,1,1.0,500.0,500.0,500.0,0.0
LANE TECH HIGH SCHOOL,151251451,61,611,1,1.0,500.0,500.0,500.0,0.0
DIGESTIVE DISEASE EDUCATION CO,407401910,61,611,1,1.0,500.0,500.0,500.0,0.0
