company,firm_id,naics2,naics3,n_estab,n_unknown,emp,implausible
BAIRD & WARNER REAL ESTATE,421766768,55,531,10.0,0.0,1325.0,False
OAK STREET HEALTH PORTAGE PARK,400624805,62,621,87.0,0.0,1319.0,False
BURGER KING,422011576,72,722,46.0,0.0,1316.0,False
COMMUNITY FIRST MEDICAL CTR,884499294,62,622,3.0,0.0,1302.0,False
CHICAGO O'HARE INTL AIRPORT,426752396,92,488,1.0,0.0,1301.0,False
US ENVIRONMENTAL PROTCTN AGCY,468172937,92,924,1.0,0.0,1300.0,False
KPMG,433570033,54,541,1.0,0.0,1300.0,False
ALLIANCE GROUND INTL,789889894,48,488,4.0,0.0,1259.0,False
CHASE,433091519,52,522,82.0,0.0,1251.0,False
AMERICAN MEDICAL ASSN,496971326,51,813,4.0,0.0,1235.0,False
PEOPLES GAS,832371389,21,221,6.0,0.0,1224.0,False
WALMART SUPERCENTER,005889993,44,452,19.0,0.0,1217.0,False
MONDELEZ INTERNATIONAL INC,860048156,31,311,2.0,0.0,1203.0,False
AT WORLD PROPERTIES LLC,713858228,53,531,14.0,0.0,1185.0,False
SEYFARTH SHAW LLP,001330794,54,541,4.0,0.0,1140.0,False
TRANSUNION INTERMEDIATE HLDNGS,434533054,52,561,4.0,0.0,1139.0,False
BHHS CHICAGO,002363950,52,531,31.0,0.0,1138.0,False
JAMESON SOTHEBY'S INTL REALTY,416148006,53,531,29.0,0.0,1135.0,False
CHICAGO STATE UNIVERSITY,738420292,61,611,5.0,0.0,1121.0,False
CBOE FUTURES EXCHANGE LLC,458460003,23,523,7.0,0.0,1116.0,False
ROCKFON LLC,367784493,23,332,1.0,0.0,1112.0,False
UNI CARE LIFE & HEALTH INS CO,582011136,62,524,3.0,0.0,1105.0,False
EDSAL MANUFACTURING CO INC,385902457,44,337,2.0,0.0,1105.0,False
PATRICK J MCNERNEY MEYER BROWN,416870134,54,541,1.0,0.0,1105.0,False
DEPAUL UNIVERSITY-LOOP CAMPUS,721488907,45,611,4.0,0.0,1089.0,False
MATTRESS FIRM,237855895,33,442,14.0,0.0,1061.0,False
ALDI,200026573,44,445,34.0,0.0,1061.0,False
GREAT DANE TRAILERS,007656051,42,336,3.0,0.0,1055.0,False
RATE,746795206,52,522,21.0,0.0,1037.0,False
POTBELLY CORP,224249342,53,722,51.0,0.0,1036.0,False
AON CORP,003901832,52,524,6.0,0.0,1029.0,False
KIRKLAND & ELLIS LLP,467853073,54,541,3.0,0.0,1009.0,False
CHIPOTLE MEXICAN GRILL,557193513,72,722,43.0,0.0,1008.0,False
MOTOROLA MOBILITY HOLDINGS LLC,611335779,53,334,1.0,0.0,1001.0,False
MCCORMICK PLACE,243185816,71,722,1.0,0.0,1001.0,False
CLARK CONSTRUCTION GROUP,367209509,23,236,1.0,0.0,1000.0,False
METROPOLITAN PIER & EXPOSITION,507800415,71,561,1.0,0.0,1000.0,False
RSM US LLP,148003965,52,541,1.0,0.0,1000.0,False
INPUT CENTER INC,410776136,56,561,1.0,0.0,1000.0,False
AMER ASSOCIATION OF MEDICAL,610824542,81,813,1.0,0.0,1000.0,False
ISMS DIVISION OF SPECIALTY SVC,400403224,62,236,1.0,0.0,1000.0,False
CHICAGO SYMPHONY CTR,475652731,71,711,1.0,0.0,1000.0,False
MILLER COORS LLC,007500598,42,424,3.0,0.0,1000.0,False
FAIRMONT CHICAGO-MILLENNIUM,438897461,72,721,3.0,0.0,1000.0,False
NORCON INC,367448727,23,236,1.0,0.0,1000.0,False
MC AULEY RESIDENCE,401537560,62,623,1.0,0.0,1000.0,False
AMERICAN MEDICAL ASSOC,458512076,81,813,1.0,0.0,1000.0,False
MISERICORDIA HOME,151796745,81,813,1.0,0.0,1000.0,False
AMAZING CHICAGO'S FUNHOUSE MZ,720809648,71,713,1.0,0.0,1000.0,True
SIDLEY AUSTIN LLP,533767356,54,541,1.0,0.0,1000.0,False
THOREK MEMORIAL HOSP ANDRSNVLL,713247635,62,622,6.0,1.0,998.0,False
COLUMBIA COLLEGE CHICAGO,748156067,61,611,7.0,0.0,979.0,False
TRUE VALUE CO,539863209,42,444,16.0,0.0,978.0,False
NORDSTROM,006131684,56,452,7.0,0.0,959.0,False
WILLIAM BLAIR & CO LLC,402888671,52,523,1.0,0.0,920.0,False
WINSTON & STRAWN LLP,001334648,54,541,2.0,0.0,907.0,False
WILLIS TOWERS WATSON,592127328,52,524,2.0,0.0,903.0,False
DD'S DISCOUNTS,104275698,45,452,21.0,0.0,901.0,False
ILLINOIS INSTITUTE-TECH CAMPUS,408172047,81,519,1.0,0.0,900.0,False
OSI INDUSTRIES LLC,006961734,31,311,2.0,0.0,900.0,False
JENNER & BLOCK LLP,001332337,54,541,2.0,0.0,900.0,False
FREEDMAN SEATING CO,151162567,42,335,1.0,0.0,900.0,False
OMNIMAX THEATER,006529671,51,512,2.0,0.0,900.0,False
VEDDER PRICE PC,820362325,51,541,1.0,0.0,900.0,False
FISCAL OPERATIONS BUREAU,401336347,92,921,1.0,0.0,900.0,False
OZINGA,628493280,23,444,8.0,0.0,898.0,False
TJ MAXX,839897758,45,452,20.0,0.0,890.0,False
ST ANTHONY HOSPITAL,439851547,62,622,2.0,0.0,871.0,False
LA FITNESS,308577089,81,713,22.0,0.0,858.0,False
US ATTORNEY,452072770,54,922,17.0,0.0,855.0,False
ALDEN WENTWORTH REHABILITATION,151625449,62,624,8.0,0.0,830.0,False
EDELMAN,639356617,54,541,8.0,0.0,819.0,False
YMCA OF THE USA,151011921,62,624,9.0,0.0,815.0,False
NORTH PARK UNIVERSITY,738425559,61,611,2.0,0.0,815.0,False
WINTRUST WEALTH MANAGEMENT,967328584,52,523,56.0,0.0,814.0,False
ST BERNARD HOSPITAL,458545811,62,622,5.0,0.0,812.0,False
MOTOROLA SOLUTIONS INC,007525504,33,334,2.0,0.0,806.0,False
CIBC BANCORP USA INC,510390404,54,551,7.0,0.0,806.0,False
IBEW,121698195,23,813,72.0,0.0,802.0,False
CLERK-THE CIRCUIT COURT-COOK,417203445,92,922,1.0,0.0,800.0,False
ILLINOIS EMPLOYMENT SECURITY,402883896,92,923,1.0,0.0,800.0,False
HEARTLAND ALLIANCE-HUMAN NEEDS,581069010,52,813,13.0,0.0,795.0,False
ISI TELEMANAGEMENT SOLUTIONS,742896291,51,511,1.0,0.0,789.0,False
GEOMETRY GLOBAL,680181153,54,541,13.0,0.0,786.0,False
WENDY'S,423671866,72,722,26.0,0.0,784.0,False
POPEYES,156647240,72,722,37.0,0.0,783.0,False
ARCHER-WESTERN CONTRACTORS LTD,583360797,23,238,5.0,0.0,779.0,False
WESTERN UNION AGENT LOCATION,612771964,52,522,159.0,0.0,776.0,False
ARCELORMITTAL,003583366,23,331,6.0,0.0,768.0,False
BLUE CROSS & BLUE SHIELD ASSN,004612941,52,524,1.0,0.0,765.0,False
WEISS MEMORIAL HOSPITAL,793946125,62,622,2.0,0.0,756.0,False
BOARD-TRUSTEES-CMNTY CLG DIST,425757412,61,523,1.0,0.0,750.0,False
FANTUS HEALTH CTR-COOK COUNTY,483452413,92,621,1.0,0.0,750.0,False
LESSEN,750307570,51,511,1.0,0.0,750.0,False
PRITZKER SCHOOL OF MEDICINE,475717922,61,611,1.0,0.0,750.0,False
COGNITIVE TPG,402325170,32,333,1.0,0.0,750.0,False
FARMER'S FRIDGE,736347633,72,454,67.0,0.0,748.0,False
BALYASNY ASSET MANAGEMENT LP,354872905,52,523,1.0,0.0,746.0,False
NUVEEN SECURITIES LLC,433461118,52,523,6.0,0.0,745.0,False
JACKSON PARK HOSPITAL,448968354,62,622,5.0,0.0,739.0,False
HUMBOLDT PARK HEALTH,475696241,62,622,3.0,0.0,738.0,False
RR DONNELLEY & SONS CO,683857213,32,323,2.0,0.0,731.0,False
DEUTSCHE BANK,441317252,52,522,3.0,0.0,724.0,False
ECHO GLOBAL LOGISTICS INC,433354362,48,488,7.0,0.0,722.0,False
WM WRIGLEY JR CO,007523475,31,311,18.0,0.0,718.0,False
DRAPER-KRAMER RESIDENTAL,901786970,53,531,10.0,0.0,716.0,False
REDWOOD LOGISTICS,230228082,48,484,4.0,0.0,715.0,False
ATLAS TUBE,415115285,23,331,5.0,0.0,705.0,False
IHEARTMEDIA,694674151,51,515,10.0,0.0,703.0,False
CHICAGO TRANSPORTATION DEPT,003848645,92,921,1.0,0.0,700.0,False
MCDERMOTT WILL & EMERY,001330497,54,541,1.0,0.0,700.0,False
NORTHWESTERN MEDICINE,367344579,62,541,1.0,0.0,700.0,False
7-ELEVEN,005863311,72,445,99.0,0.0,698.0,False
WFMT,617356803,51,541,4.0,0.0,698.0,False
NEWSNATION,988440806,51,515,4.0,0.0,697.0,False
WHITE CASTLE,441427713,72,722,20.0,0.0,688.0,False
REPUBLIC SERVICES OF CHICAGO,977518554,56,562,8.0,0.0,671.0,False
LOWE'S HOME IMPROVEMENT,310007406,23,444,5.0,0.0,666.0,False
WEBER SHANDWICK,003607868,54,541,6.0,0.0,663.0,False
FAEGRE DRINKER BIDDLE-REATH,001161124,51,541,2.0,0.0,660.0,False
CITIBANK,003678943,52,522,25.0,2.0,657.0,False
MOODY BIBLE INSTITUTE,722498934,61,519,3.0,0.0,651.0,False
JONES DAY,001250919,54,541,2.0,0.0,650.0,False
AUTOKINITON,433350857,32,336,2.0,0.0,650.0,False
COSTCO WHOLESALE,441311800,42,452,10.0,0.0,650.0,False
UNITED STATES CELLULAR CORP,004607974,51,517,2.0,0.0,640.0,False
SAKS FIFTH AVENUE,852815976,44,452,6.0,0.0,637.0,False
BUBBA GUMP SHRIMP CO,314638263,72,722,5.0,0.0,636.0,False
ADTALEM GLOBAL EDUCATION INC,007567704,61,611,2.0,1.0,636.0,False
GIORDANO'S,652242033,31,722,20.0,0.0,634.0,False
CHICAGO READ MENTAL HEALTH CTR,410869524,92,622,1.0,0.0,628.0,False
ROOSEVELT UNIVERSITY,738425989,61,611,4.0,1.0,628.0,False
METHODE ELECTRONICS INC,009322777,33,334,2.0,0.0,627.0,False
MORGAN STANLEY WEALTH MGMT,462148875,52,523,50.0,0.0,620.0,False
ARDAGH GROUP,004713574,33,327,2.0,0.0,620.0,False
GRANT THORNTON LLP,622551794,51,541,4.0,0.0,618.0,False
SALVATION ARMY KROC CTR,466104361,71,624,23.0,0.0,617.0,False
CONAGRA BRANDS INC,007509045,42,311,3.0,0.0,615.0,False
CUSHMAN & WAKEFIELD,884301763,53,531,3.0,0.0,613.0,False
PROVIDENT HOSPITAL-COOK COUNTY,439599489,62,622,12.0,1.0,609.0,False
VIENNA BEEF LTD,686514902,31,311,3.0,0.0,609.0,False
H&R BLOCK,004620738,52,541,66.0,0.0,608.0,False
FERRARA CANDY CO,418285359,42,311,1.0,0.0,600.0,False
MIDWAY MOVING,237616735,48,531,1.0,0.0,600.0,False
NATIONAL ASSOCIATION-BAR,820734093,81,813,1.0,0.0,600.0,False
WALSH'DEMARIA JOINT VENTURE,404918287,23,236,1.0,0.0,600.0,False
ARIE CROWN THEATER,891739385,71,711,1.0,0.0,600.0,False
GENERAL FOODS CORP,009093030,31,424,1.0,0.0,600.0,False
BEARINGPOINT,259743649,54,541,1.0,0.0,600.0,False
55 ERIE INVESTORS LLC,417273296,53,531,1.0,0.0,600.0,False
EAST BANK CLUB,975296526,71,713,1.0,0.0,600.0,False
CRAIN COMMUNICATIONS INC,890292881,51,511,6.0,0.0,598.0,False
FRESENIUS KIDNEY CARE,007526346,62,621,33.0,0.0,597.0,False
NEWARK,007503576,33,423,3.0,0.0,574.0,False
JIFFY LUBE,007533805,44,811,94.0,0.0,559.0,False
ALLSTATE INSURANCE,402946685,52,524,113.0,0.0,558.0,False
SUPERIOR GRAPHITE CO,655861375,32,335,2.0,0.0,552.0,False
CCH INC,684383862,51,511,2.0,0.0,550.0,False
THYSSENKRUPP NORTH AMERICA,599085917,33,332,2.0,0.0,550.0,False
FOUR SEASONS HOTEL CHICAGO,313028979,72,721,1.0,0.0,550.0,False
PNC BANK,005235973,52,522,64.0,3.0,544.0,False
PROVISUR TECHNOLOGIES INC,007518103,33,423,4.0,0.0,544.0,False
TRUMP INTERNATIONAL HOTEL,441324175,72,721,2.0,0.0,540.0,False
T-MOBILE,507958353,51,517,109.0,0.0,537.0,False
PROVIDENCE BANK & TRUST,749710524,52,522,3.0,0.0,536.0,False
HOWARD ORLOFF IMPORTS INC,713001966,44,441,4.0,0.0,536.0,False
PETE'S FRESH MARKET,716158773,42,445,8.0,0.0,536.0,False
PERKINS EASTMAN ARCHITECTS,807279781,54,541,2.0,0.0,534.0,False
STARCOM MEDIAVEST GROUP,533721700,54,541,4.0,0.0,533.0,False
CONSTELLATION BRANDS,006501621,31,425,2.0,0.0,530.0,False
SMITHBUCKLIN,461050437,62,561,3.0,0.0,528.0,False
DHL GLOBAL FORWARDING,712073164,48,488,5.0,0.0,526.0,False
SOUTH SHORE HOSPITAL,006531438,62,622,3.0,0.0,526.0,False
DOMINO'S,311225726,48,722,35.0,0.0,524.0,False
KOMATSU AMERICA CORP,441443769,21,333,3.0,0.0,523.0,False
BELT RAILWAY CO-CHICAGO YARD,416591443,48,482,1.0,0.0,520.0,False
KINDRED HOSPITAL CHICAGO NORTH,775656482,62,622,2.0,0.0,512.0,False
CHICAGO TRIBUNE DIRECT,422144316,51,541,7.0,0.0,512.0,False
BOSTON CONSULTING GROUP,854356029,54,541,3.0,0.0,508.0,False
CHAPMAN & CUTLER LLP,470626524,54,541,2.0,0.0,504.0,False
AT KEARNEY INC,005763008,33,541,2.0,0.0,503.0,False
AUTOZONE,446751315,42,441,44.0,0.0,501.0,False
GATX CORP,005763628,48,532,3.0,0.0,501.0,False
ACCESS COMMUNITY HEALTH,001260249,62,621,1.0,0.0,501.0,False
LINCOLN PARK ZOO,434093017,81,712,1.0,0.0,500.0,False
DIGESTIVE DISEASE EDUCATION CO,407401910,61,611,1.0,0.0,500.0,False
SRA MC GRAW-HILL,974030587,51,611,1.0,0.0,500.0,False
FOUR SEASONS HTG & AIR COND,700457830,23,238,1.0,0.0,500.0,False
PENINSULA CHICAGO,434239930,72,721,1.0,0.0,500.0,False
DEPARTMENT OF CULTURAL AFFAIRS,242688505,92,712,1.0,0.0,500.0,False
COLEMAN NATURAL MEATS,217200021,42,424,1.0,0.0,500.0,False
LANE TECH HIGH SCHOOL,151251451,61,611,1.0,0.0,500.0,False
DIGITAS-CHICAGO,433572627,54,541,1.0,0.0,500.0,False
COMPSYCH EMPLOYEE ASSISTANCE,421855444,54,541,1.0,0.0,500.0,False
ZACKS INVESTMENT RESEARCH INC,151012028,52,523,1.0,0.0,500.0,False
SKADDEN ARPS SLATE MEAGHER,227324787,51,541,1.0,0.0,500.0,False
MCCORMICK PLACE,417327889,71,561,1.0,0.0,500.0,False
BAIN & CO,313554552,54,541,1.0,0.0,500.0,False
